experiment,model,checkpoint,device,chunk_size,eval_batch_size,timed_batches,avg_batch_ms,min_batch_ms,max_batch_ms,avg_sample_us,samples_per_second,nmse_percent,num_parameters,model_dilation,model_hidden_channels,model_hidden_size,model_input_channels,model_input_size,model_kernel_size,model_num_blocks,model_num_layers,model_output_channels,model_output_size,model_size_mb_fp32,realtime_budget_us_per_sample,realtime_load_pct,headroom_x,max_realtime_sample_rate_hz,chunk_budget_ms_at_44k,chunk_budget_utilization_pct_at_44k,is_realtime_viable_44k,viability_tier
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2157626673579216,0.2041668631136417,0.2715839073061943,0.0131691081151075,75935286.67691673,0.6422710607622897,1681,1.0,16.0,,1.0,,3.0,3.0,,1.0,,0.006412506103515625,22.675736961451246,0.05807576678762408,1721.8885867781596,75935286.67691684,371.51927437641723,0.05807576678762416,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.10219591204077,0.0907080247998237,0.1429999247193336,0.0062375434595196,160319524.26300344,5.132074758352673,113,2.0,16.0,,1.0,,3.0,1.0,,1.0,,0.000431060791015625,22.675736961451246,0.027507566656481436,3635.3633619729,160319524.2630049,371.51927437641723,0.027507566656481672,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1724604051560163,0.1576668582856655,0.2436251379549503,0.0105261477756357,95001516.34909016,0.302931160051662,897,2.0,16.0,,1.0,,3.0,2.0,,1.0,,0.003421783447265625,22.675736961451246,0.04642031169055343,2154.229395670992,95001516.34909074,371.51927437641723,0.046420311690553696,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2182166324928403,0.2075419761240482,0.2415827475488186,0.0133188862605493,75081352.93279059,0.2938228922432253,1681,2.0,16.0,,1.0,,3.0,3.0,,1.0,,0.006412506103515625,22.675736961451246,0.05873628840902241,1702.52500981385,75081352.93279079,371.51927437641723,0.05873628840902256,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1038916874676942,0.0934172421693801,0.126624945551157,0.0063410453776668,157702703.6459938,4.078552006009822,177,1.0,16.0,,1.0,,5.0,1.0,,1.0,,0.000675201416015625,22.675736961451246,0.027964010115510588,3576.0250259863033,157702703.64599597,371.51927437641723,0.02796401011551095,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1699749147519469,0.1549581065773964,0.2405000850558281,0.0103744454804655,96390694.0262921,0.4404709234353454,1473,1.0,16.0,,1.0,,5.0,2.0,,1.0,,0.005619049072265625,22.675736961451246,0.04575130456885285,2185.7300232719317,96390694.0262922,371.51927437641723,0.045751304568852895,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2130520995706319,0.206999946385622,0.2252086997032165,0.013003668186684,76901377.79922841,0.6217636731823587,2769,1.0,16.0,,1.0,,5.0,3.0,,1.0,,0.010562896728515625,22.675736961451246,0.057346176703276436,1743.795414948501,76901377.79922889,371.51927437641723,0.057346176703276776,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1169811934232711,0.0972501002252101,0.1608747988939285,0.0071399654189008,140056700.74434987,3.1661356422333204,177,2.0,16.0,,1.0,,5.0,1.0,,1.0,,0.000675201416015625,22.675736961451246,0.03148724749735253,3175.8889057675833,140056700.74435043,371.51927437641723,0.031487247497352634,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1774561358615756,0.1606657169759273,0.2461662515997886,0.0108310629798324,92327041.3866124,0.3200417278341207,1473,2.0,16.0,,1.0,,5.0,2.0,,1.0,,0.005619049072265625,22.675736961451246,0.04776498774106089,2093.5837049118636,92327041.38661319,371.51927437641723,0.047764987741061304,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2297376049682498,0.207624863833189,0.2945419400930404,0.0140220706157379,71316143.48580113,0.2541871670202158,2769,2.0,16.0,,1.0,,5.0,3.0,,1.0,,0.010562896728515625,22.675736961451246,0.06183733141540414,1617.1461107891414,71316143.48580115,371.51927437641723,0.06183733141540415,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1024875789880752,0.0956659205257892,0.1341253519058227,0.0062553453972213,159863274.7672411,1.343316464366132,241,1.0,16.0,,1.0,,7.0,1.0,,1.0,,0.000919342041015625,22.675736961451246,0.027586073201745935,3625.0175684182177,159863274.76724342,371.51927437641723,0.027586073201746317,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1716332277283072,0.1551248133182525,0.2469583414494991,0.010475660872089,95459371.22347672,0.4189557949043604,2049,1.0,16.0,,1.0,,7.0,2.0,,1.0,,0.007816314697265625,22.675736961451246,0.04619766444591249,2164.6115923691004,95459371.22347732,371.51927437641723,0.04619766444591276,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2226498909294605,0.2072500064969062,0.3034579567611217,0.013589470881925,73586382.33149077,0.5927983669552315,3857,1.0,16.0,,1.0,,7.0,3.0,,1.0,,0.014713287353515625,22.675736961451246,0.059929566589289246,1668.625449693678,73586382.3314912,371.51927437641723,0.0599295665892896,True,strong_headroom
