target_device,target_package,target_freq_mhz,status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
--hx8k,ct256,25,ok,conv1d_2mult,small,8,8,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,121.89,40630000.000000,269,161,117,60,1,0,2,88,0,0,
--hx8k,ct256,25,ok,conv1d_2mult,small,8,8,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,301,193,117,60,1,0,2,120,0,0,
--hx8k,ct256,25,ok,conv1d_2mult,small,8,8,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,106.29,35430000.000000,325,185,141,76,1,0,2,104,0,0,
--hx8k,ct256,25,ok,conv1d_2mult,small,8,8,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,106.29,35430000.000000,357,217,141,76,1,0,2,136,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,195.69,195690000.000000,203,134,80,33,0,0,3,86,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,198.97,198970000.000000,219,150,80,33,0,0,3,102,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,155.79,155790000.000000,275,174,112,49,0,0,3,110,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,151.33,151330000.000000,291,190,112,49,0,0,3,126,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,129.50,129500000.000000,347,214,144,65,0,0,3,134,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,4,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,136.71,136710000.000000,363,230,144,65,0,0,3,150,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,195.69,195690000.000000,203,134,80,33,0,0,3,86,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,198.97,198970000.000000,219,150,80,33,0,0,3,102,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,155.79,155790000.000000,275,174,112,49,0,0,3,110,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,151.33,151330000.000000,291,190,112,49,0,0,3,126,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,129.50,129500000.000000,347,214,144,65,0,0,3,134,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,6,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,136.71,136710000.000000,363,230,144,65,0,0,3,150,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,195.69,195690000.000000,203,134,80,33,0,0,3,86,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,198.97,198970000.000000,219,150,80,33,0,0,3,102,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,155.79,155790000.000000,275,174,112,49,0,0,3,110,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,151.33,151330000.000000,291,190,112,49,0,0,3,126,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,129.50,129500000.000000,347,214,144,65,0,0,3,134,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,4,8,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,136.71,136710000.000000,363,230,144,65,0,0,3,150,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,6,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,190.40,190400000.000000,233,156,90,37,0,0,3,102,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,6,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,182.65,182650000.000000,257,180,90,37,0,0,3,126,0,0,
--hx8k,ct256,25,ok,conv1d_parallel_pipelined,small,6,4,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,150.06,150060000.000000,305,196,122,53,0,0,3,126,0,0,
