status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_2mult,small,6,8,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,301,165,131,72,1,0,2,94,0,0,
ok,conv1d_2mult,small,6,8,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,104.81,34936666.666667,325,189,131,72,1,0,2,118,0,0,
ok,conv1d_2mult,small,8,4,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,137,93,44,1,0,2,72,0,0,
ok,conv1d_2mult,small,8,4,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,245,169,93,44,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,4,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,114.65,38216666.666667,269,161,117,60,1,0,2,88,0,0,
ok,conv1d_2mult,small,8,4,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,110.91,36970000.000000,301,193,117,60,1,0,2,120,0,0,
ok,conv1d_2mult,small,8,4,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,325,185,141,76,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,4,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,97.18,32393333.333333,357,217,141,76,1,0,2,136,0,0,
ok,conv1d_2mult,small,8,6,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,137,93,44,1,0,2,72,0,0,
ok,conv1d_2mult,small,8,6,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,245,169,93,44,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,6,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,114.65,38216666.666667,269,161,117,60,1,0,2,88,0,0,
ok,conv1d_2mult,small,8,6,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,110.91,36970000.000000,301,193,117,60,1,0,2,120,0,0,
ok,conv1d_2mult,small,8,6,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,325,185,141,76,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,6,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,97.18,32393333.333333,357,217,141,76,1,0,2,136,0,0,
ok,conv1d_2mult,small,8,8,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,137,93,44,1,0,2,72,0,0,
ok,conv1d_2mult,small,8,8,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,245,169,93,44,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,8,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,114.65,38216666.666667,269,161,117,60,1,0,2,88,0,0,
